"Category","TestName","Runs","Statuses"
"Passed","should clear custom users created during tests","1","passed"
"Passed","should verify profile changes persist","1","passed"
"Passed","should return users with correct fields","1","passed"
"Passed","critical path: role-based access control","1","passed"
"Passed","should forbid user role to delete users","1","passed"
"Passed","should restore consistent user count after reset","1","passed"
"Passed","should delete user as admin","1","passed"
"Passed","should create admin user when role is specified","1","passed"
"Passed","should fail to create user with invalid email","1","passed"
"Passed","should fail to get profile without token","1","passed"
"Passed","should fail to get profile with invalid token","1","passed"
"Passed","should fail without authentication token","1","passed"
"Passed","should fail login with missing email","1","passed"
"Passed","should prevent user from elevating their own role","1","passed"
"Passed","should get own profile with admin token","1","passed"
"Passed","should not allow updating email via profile endpoint","1","passed"
"Passed","should fail to update with invalid email","1","passed"
"Passed","smoke: API is accessible and responding","1","passed"
"Passed","should create user with valid data as admin","1","passed"
"Passed","smoke: all endpoints return JSON","1","passed"
"Passed","should forbid user role to update users","1","passed"
"Passed","should only return own profile data","1","passed"
"Passed","should fail login with invalid email format","1","passed"
"Passed","should allow user role to list users","1","passed"
"Passed","should update profile avatar","1","passed"
"Passed","should fail to delete self (admin)","1","passed"
"Passed","should fail with malformed token","1","passed"
"Passed","should not allow updating role via profile endpoint","1","passed"
"Passed","critical path: database reset functionality","1","passed"
"Passed","should get own profile with user token","1","passed"
"Passed","smoke: response times are acceptable","1","passed"
"Passed","should reset database successfully","1","passed"
"Passed","should list users with user token","1","passed"
"Passed","should include both admin and user accounts after reset","1","passed"
"Passed","should list users with admin token","1","passed"
"Passed","should forbid user role to create users","1","passed"
"Passed","should update multiple profile fields at once","1","passed"
"Passed","should update profile facebook","1","passed"
"Passed","should fail to update non-existent user","1","passed"
"Passed","should fail with invalid token","1","passed"
"Passed","should update profile hobbies","1","passed"
"Passed","should reset database multiple times without errors","1","passed"
"Passed","should not require authentication to reset database","1","passed"
"Passed","should return sample data information after reset","1","passed"
"Passed","should return profile with all required fields","1","passed"
"Passed","critical path: authentication flow","1","passed"
"Passed","should fail login with missing password","1","passed"
"Passed","should allow admin to create another admin","1","passed"
"Passed","should return valid JWT token structure","1","passed"
"Passed","should fail to update profile without token","1","passed"
"Passed","should not allow updating another user profile","1","passed"
"Passed","should allow admin to create users","1","passed"
"Passed","should verify user is actually deleted","1","passed"
"Passed","should fail to create user with duplicate email","1","passed"
"Passed","should fail login with non-existent email","1","passed"
"Passed","should login successfully with admin credentials","1","passed"
"Passed","should update own profile name","1","passed"
"Passed","critical path: profile management workflow","1","passed"
"Passed","should login successfully with user credentials","1","passed"
"Passed","should return account information after reset","1","passed"
"Passed","should fail to delete non-existent user","1","passed"
"Passed","should allow login after database reset","1","passed"
"Passed","should fail login with invalid password","1","passed"
"Passed","critical path: complete user CRUD workflow","1","passed"
"Passed","should restore default users after reset","1","passed"
"Passed","critical path: login and list users","1","passed"
"Flaky","should allow admin to update users","3","failed -> failed -> passed"
"Flaky","should update user with valid data as admin","2","failed -> passed"
"Flaky","should fail to create user with missing required field","2","failed -> passed"
"Flaky","should allow admin to change user role","2","failed -> passed"
"Failed","should allow admin to delete users","3","failed -> failed -> failed"
